DATE;SKU;Style;quantity;price;Category
01/06/2022;MEN5004-KR-L;MEN5004;1;616.56;kurta
02/06/2022;MEN5004-KR-XL;MEN5004;1;616.56;kurta
03/06/2022;MEN5004-KR-XXL;MEN5004;1;616.56;kurta
04/06/2022;MEN5009-KR-L;MEN5009;1;616.56;kurta
05/06/2022;MEN5011-KR-L;MEN5011;1;616.56;kurta
06/06/2022;MEN5025-KR-L;MEN5025;1;649.03;kurta
07/06/2022;MEN5015-KR-XL;MEN5015;1;616.56;kurta
08/06/2022;MEN5022-KR-XXL;MEN5022;1;649.03;kurta
09/06/2022;MEN5014-KR-S;MEN5014;1;649.03;kurta
10/06/2022;MEN5013-KR-S;MEN5013;1;649.03;kurta
11/06/2022;MEN5013-KR-XXL;MEN5013;1;649.03;kurta
12/06/2022;MEN5003-KR-L;MEN5003;1;616.56;kurta
13/06/2022;MEN5003-KR-XXL;MEN5003;1;616.56;kurta
14/06/2022;MEN5028-KR-L;MEN5028;1;649.03;kurta
15/06/2022;MEN5028-KR-XXL;MEN5028;1;649.03;kurta
16/06/2022;MEN5006-KR-XL;MEN5006;1;649.03;kurta
17/06/2022;BL104-M;BL104;1;421.85;Blouse
18/06/2022;BL104-XL;BL104;1;421.85;Blouse
19/06/2022;BL103-S;BL103;1;389.35;Blouse
20/06/2022;J0001-DR-L;J0001;1;584.35;Ethnic Dress
21/06/2022;JNE3660-TP-L;JNE3660;1;421.85;Top
22/06/2022;JNE3647-TP-XL;JNE3647;1;421.85;Top
23/06/2022;J0116-TP-XL;J0116;1;421.85;Top
24/06/2022;J0165-TP-L;J0165;1;454.35;Top
25/06/2022;JNE3656-TP-XL;JNE3656;1;454.35;Top
26/06/2022;JNE3673-TU-XL;JNE3673;1;519.35;Top
27/06/2022;JNE3649-TP-L;JNE3649;1;486.85;Top
28/06/2022;JNE3653-TP-L;JNE3653;1;454.35;Top
29/06/2022;JNE3651-TP-L;JNE3651;1;454.35;Top
30/06/2022;JNE3712-TP-L;JNE3712;1;454.35;Top
01/07/2022;J0036-TP-XL;J0036;1;531.25;Top
02/07/2022;JNE3658-TP-L;JNE3658;1;421.85;Top
03/07/2022;JNE3652-TP-XL;JNE3652;1;421.85;Top
04/07/2022;JNE3643-TP-L;JNE3643;1;356.85;Top
05/07/2022;JNE3643-TP-XL;JNE3643;1;356.85;Top
06/07/2022;JNE3672-TU-XL;JNE3672;1;486.85;Top
07/07/2022;JNE3674-TU-XL;JNE3674;1;486.85;Top
08/07/2022;JNE3670-TU-L;JNE3670;1;519.35;Top
09/07/2022;J0122-TP-L;J0122;1;421.85;Top
10/07/2022;J0119-TP-L;J0119;1;421.85;Top
11/07/2022;JNE3421-KR-XL;JNE3421;1;421.85;kurta
12/07/2022;JNE3467-KR-XL;JNE3467;1;519.35;kurta
13/07/2022;JNE3030-KR-L;JNE3030;1;746.85;kurta
14/07/2022;JNE3657-TP-XL;JNE3657;1;421.85;Top
15/07/2022;JNE3667-TP-XL;JNE3667;1;454.35;Top
16/07/2022;J0092-SET-L;J0092;1;1071.85;Set
17/07/2022;JNE3659-TP-L;JNE3659;1;389.35;Top
18/07/2022;J0214-TP-L;J0214;1;649.35;Top
19/07/2022;J0201-TP-L;J0201;1;584.35;Top
20/07/2022;J0197-TP-L;J0197;1;584.35;Top
21/07/2022;J0213-TP-L;J0213;1;584.35;Top
22/07/2022;JNE3640-TP-XL;JNE3640;1;454.35;Top
23/07/2022;J0233-SKD-L;J0233;1;1429.35;Set
24/07/2022;J0237-SKD-L;J0237;1;1494.35;Set
25/07/2022;J0234-SKD-L;J0234;1;1201.85;Set
26/07/2022;JNE3535-KR-XL;JNE3535;1;389.35;kurta
27/07/2022;KURTI;JNE1525;1;421.85;kurta
28/07/2022;JNE2305-KR-533-L;JNE2305;1;421.85;kurta
29/07/2022;JNE3365-KR-1052-L;JNE3365;1;421.85;kurta
30/07/2022;JNE2270-KR-487-L;JNE2270;1;551.85;kurta
31/07/2022;SET094-KR-NP-XL;SET094;1;941.85;Set
01/08/2022;JNE2049-KR-351-XL;JNE2049;1;486.85;kurta
02/08/2022;CH202-ORANGE-XXL;CH202;1;291.85;Bottom
03/08/2022;BTM029-NP-XXL;BTM029;1;356.85;Bottom
04/08/2022;BTM008-XXL;BTM008;1;356.85;Bottom
05/08/2022;BTM035-NP-XXL;BTM035;1;356.85;Bottom
06/08/2022;CH209-BIEGE-XXL;CH209;1;291.85;Bottom
07/08/2022;CH208-MUSTARD-XXL;CH208;1;291.85;Bottom
08/08/2022;CH207-PINK-XXL;CH207;1;291.85;Bottom
09/08/2022;CH205-YELLOW-XXL;CH205;1;291.85;Bottom
10/08/2022;CH213-BROWN-XXL;CH213;1;291.85;Bottom
11/08/2022;J0024-KR-L;J0024;1;519.35;kurta
12/08/2022;J0109-SKD-L;J0109;1;1071.85;Set
13/08/2022;J0109-SKD-XXL;J0109;1;1071.85;Set
14/08/2022;J0109-SKD-XL;J0109;1;1071.85;Set
15/08/2022;J0109-SKD-XS;J0109;1;1071.85;Set
16/08/2022;J0109-SKD-S;J0109;1;1071.85;Set
17/08/2022;J0109-SKD-M;J0109;1;1071.85;Set
18/08/2022;J0109-SKD-XXXL;J0109;1;1071.85;Set
19/08/2022;J0110-SKD-L;J0110;1;1169.35;Set
20/08/2022;J0110-SKD-XL;J0110;1;1169.35;Set
21/08/2022;J0110-SKD-M;J0110;1;1169.35;Set
22/08/2022;J0110-SKD-XS;J0110;1;1169.35;Set
23/08/2022;J0110-SKD-S;J0110;1;1169.35;Set
24/08/2022;J0110-SKD-XXL;J0110;1;1169.35;Set
25/08/2022;J0110-SKD-XXXL;J0110;1;1169.35;Set
26/08/2022;J0127-SKD-XXL;J0127;1;1104.35;Set
27/08/2022;J0127-SKD-XS;J0127;1;1104.35;Set
28/08/2022;J0281-SKD-XS;J0281;1;1494.35;Set
29/08/2022;J0281-SKD-S;J0281;1;1494.35;Set
