DATE,quantity,elasticite_rolling_SKU,elasticite_rolling_Style,elasticite_rolling_Category,var_elasticite_rolling_SKU,var_elasticite_rolling_Style,var_elasticite_rolling_Category,basket_intensity_sku_norm,basket_intensity_style_norm,basket_intensity_cat_norm,Style
2023-09-10,0,,,,,,,,,,BTM002
2023-09-10,0,,,,,,,,,,BTM003
2023-09-10,1,0.5880678925943771,-0.8441512067412067,1.6549185648123033,0.783635517566652,5.126003611227671,4.943419020725921,1.0,0.29268292682926833,0.4383561643835616,BTM005
2023-09-11,0,,,,,,,,,,BTM005
2023-09-11,0,,,,,,,,,,BTM002
2023-09-11,0,,,,,,,,,,BTM003
2023-09-12,0,,,,,,,,,,BTM003
2023-09-12,0,,,,,,,,,,BTM002
2023-09-12,0,,,,,,,,,,BTM005
2023-09-13,0,,,,,,,,,,BTM003
2023-09-13,0,,,,,,,,,,BTM005
2023-09-13,0,,,,,,,,,,BTM002
2023-09-14,0,,,,,,,,,,BTM002
2023-09-14,0,,,,,,,,,,BTM003
2023-09-14,0,,,,,,,,,,BTM005
2023-09-15,0,,,,,,,,,,BTM003
2023-09-15,0,,,,,,,,,,BTM002
2023-09-15,0,,,,,,,,,,BTM005
2023-09-16,0,,,,,,,,,,BTM003
2023-09-16,0,,,,,,,,,,BTM002
2023-09-16,0,,,,,,,,,,BTM005
2023-09-17,0,,,,,,,,,,BTM002
2023-09-17,0,,,,,,,,,,BTM003
2023-09-17,0,,,,,,,,,,BTM005
2023-09-18,0,,,,,,,,,,BTM005
2023-09-18,0,,,,,,,,,,BTM003
2023-09-18,0,,,,,,,,,,BTM002
2023-09-19,0,,,,,,,,,,BTM002
2023-09-19,0,,,,,,,,,,BTM005
2023-09-19,0,,,,,,,,,,BTM003
2023-09-20,0,,,,,,,,,,BTM005
2023-09-20,0,,,,,,,,,,BTM002
2023-09-20,0,,,,,,,,,,BTM003
2023-09-21,0,,,,,,,,,,BTM003
2023-09-21,0,,,,,,,,,,BTM005
2023-09-21,0,,,,,,,,,,BTM002
2023-09-22,0,,,,,,,,,,BTM005
2023-09-22,0,,,,,,,,,,BTM002
2023-09-22,0,,,,,,,,,,BTM003
2023-09-23,0,,,,,,,,,,BTM005
2023-09-23,0,,,,,,,,,,BTM002
2023-09-23,0,,,,,,,,,,BTM003
2023-09-24,0,,,,,,,,,,BTM005
2023-09-24,0,,,,,,,,,,BTM002
2023-09-24,0,,,,,,,,,,BTM003
2023-09-25,0,,,,,,,,,,BTM005
2023-09-25,0,,,,,,,,,,BTM003
2023-09-25,0,,,,,,,,,,BTM002
2023-09-26,0,,,,,,,,,,BTM002
2023-09-26,0,,,,,,,,,,BTM005
2023-09-26,0,,,,,,,,,,BTM003
2023-09-27,0,,,,,,,,,,BTM005
